"Cap waktu","Jenis Kelamin","Usia Saat Ini","Daily_Screen_Time","Social_Media","Gaming","Work_Study","Sleep","Weekend_Screen_Time","Notifications","App_Opens","Strees_level","Addiction_label"
"2026/08/11 2:55:46 PM GMT+7","Perempuan","22","9","7","2","3","8","13","120","15","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/11 2:56:52 PM GMT+7","Laki - laki","26","9","5","3","6","8","15","100","10","Medium (Sedang / Kadang-Kadang Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/11 3:07:33 PM GMT+7","Laki - laki","23","9","5","3","2","6","13","75","15","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/11 3:07:34 PM GMT+7","Perempuan","23","8","6","3","3","7","10","70","20","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/11 3:14:07 PM GMT+7","Laki - laki","25","7","6","3","3","7","13","65","15","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/11 3:14:08 PM GMT+7","Laki - laki","24","9","5","4","5","9","12","80","10","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/11 3:21:38 PM GMT+7","Perempuan","23","8","6","3","5","7","13","75","20","Low (Rendah / Jarang Merasa Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/11 3:21:38 PM GMT+7","Laki - laki","20","9","5","4","4","6","14","60","15","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/11 3:25:55 PM GMT+7","Laki - laki","19","8","5","4","5","7","11","60","15","Medium (Sedang / Kadang-Kadang Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/11 3:25:56 PM GMT+7","Laki - laki","21","7","6","3","6","6","13","75","15","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/11 3:31:30 PM GMT+7","Laki - laki","24","10","5","4","3","6","13","75","25","Medium (Sedang / Kadang-Kadang Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/11 3:31:30 PM GMT+7","Perempuan","21","9","6","1","3","7","10","80","20","Low (Rendah / Jarang Merasa Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/11 3:36:57 PM GMT+7","Laki - laki","27","9","4","1","5","7","14","120","25","Medium (Sedang / Kadang-Kadang Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/11 3:36:58 PM GMT+7","Laki - laki","22","8","3","3","6","7","13","85","15","Medium (Sedang / Kadang-Kadang Stres)","1 (Ya / Terindikasi Kecanduan)"
